,lambda(nm),T M45_LC,T M45_RC,T P45_LC,T P45_RC
0,1000.0,0.523385,0.503772,0.503772,0.523385
1,992.063,0.530197,0.509601,0.509601,0.530197
2,984.252,0.53719,0.515699,0.515699,0.53719
3,976.563,0.544341,0.521886,0.521886,0.544341
4,968.992,0.551666,0.528015,0.528015,0.551666
5,961.538,0.559172,0.534102,0.534102,0.559172
6,954.198,0.566821,0.540266,0.540266,0.566821
7,946.97,0.574517,0.546539,0.546539,0.574517
8,939.85,0.582158,0.552761,0.552761,0.582158
9,932.836,0.589677,0.558687,0.558687,0.589677
10,925.926,0.597032,0.564163,0.564163,0.597032
11,919.118,0.604148,0.569186,0.569186,0.604148
12,912.409,0.610865,0.573764,0.573764,0.610865
13,905.797,0.616951,0.577742,0.577742,0.616951
14,899.281,0.622164,0.580784,0.580784,0.622164
15,892.857,0.62629,0.582525,0.582525,0.62629
16,886.525,0.62912,0.582726,0.582726,0.62912
17,880.282,0.630379,0.581253,0.581253,0.630379
18,874.126,0.62969,0.577916,0.577916,0.62969
19,868.056,0.626629,0.572363,0.572363,0.626629
20,862.069,0.620821,0.564168,0.564168,0.620821
21,856.164,0.612004,0.553027,0.553027,0.612004
22,850.34,0.600019,0.538873,0.538873,0.600019
23,844.595,0.584774,0.521829,0.521829,0.584774
24,838.926,0.566253,0.502076,0.502076,0.566253
25,833.333,0.544611,0.479833,0.479833,0.544611
26,827.815,0.520255,0.45547,0.45547,0.520255
27,822.368,0.493848,0.429618,0.429618,0.493848
28,816.993,0.4662,0.403122,0.403122,0.4662
29,811.688,0.438117,0.376836,0.376836,0.438117
30,806.452,0.41032,0.351451,0.351451,0.41032
31,801.282,0.383441,0.327461,0.327461,0.383441
32,796.178,0.358044,0.30526,0.30526,0.358044
33,791.139,0.334584,0.28519,0.28519,0.334584
34,786.164,0.313341,0.267477,0.267477,0.313341
35,781.25,0.294365,0.252119,0.252119,0.294365
36,776.398,0.277526,0.238895,0.238895,0.277526
37,771.605,0.262624,0.227505,0.227505,0.262624
38,766.871,0.249469,0.217717,0.217717,0.249469
39,762.195,0.237883,0.209379,0.209379,0.237883
40,757.576,0.227647,0.202306,0.202306,0.227647
41,753.012,0.218481,0.196201,0.196201,0.218481
42,748.503,0.210091,0.190726,0.190726,0.210091
43,744.048,0.202244,0.185647,0.185647,0.202244
44,739.645,0.194794,0.180904,0.180904,0.194794
45,735.294,0.187637,0.176501,0.176501,0.187637
46,730.994,0.180641,0.172364,0.172364,0.180641
47,726.744,0.173643,0.168313,0.168313,0.173643
48,722.543,0.166497,0.164203,0.164203,0.166497
49,718.391,0.159138,0.16006,0.16006,0.159138
50,714.286,0.151577,0.156062,0.156062,0.151577
51,710.227,0.14387,0.152358,0.152358,0.14387
52,706.215,0.136096,0.148948,0.148948,0.136096
53,702.247,0.128407,0.145748,0.145748,0.128407
54,698.324,0.121076,0.142776,0.142776,0.121076
55,694.444,0.11449,0.140244,0.140244,0.11449
56,690.608,0.109048,0.138415,0.138415,0.109048
57,686.813,0.105048,0.137375,0.137375,0.105048
58,683.06,0.102638,0.136961,0.136961,0.102638
59,679.348,0.101857,0.136934,0.136934,0.101857
60,675.676,0.102688,0.13722,0.13722,0.102688
61,672.043,0.105058,0.137951,0.137951,0.105058
62,668.449,0.108786,0.139252,0.139252,0.108786
63,664.894,0.113573,0.141023,0.141023,0.113573
64,661.376,0.119095,0.142963,0.142963,0.119095
65,657.895,0.125131,0.144837,0.144837,0.125131
66,654.45,0.131603,0.146689,0.146689,0.131603
67,651.042,0.138478,0.148748,0.148748,0.138478
68,647.668,0.145616,0.151087,0.151087,0.145616
69,644.33,0.152751,0.153403,0.153403,0.152751
70,641.026,0.159656,0.15522,0.15522,0.159656
71,637.755,0.166367,0.156358,0.156358,0.166367
72,634.518,0.173234,0.157259,0.157259,0.173234
73,631.313,0.180675,0.158782,0.158782,0.180675
74,628.141,0.188806,0.161617,0.161617,0.188806
75,625.0,0.197212,0.165756,0.165756,0.197212
76,621.891,0.205078,0.170491,0.170491,0.205078
77,618.812,0.211574,0.174876,0.174876,0.211574
78,615.764,0.21623,0.178269,0.178269,0.21623
79,612.745,0.219032,0.180538,0.180538,0.219032
80,609.756,0.220244,0.181858,0.181858,0.220244
81,606.796,0.220149,0.182411,0.182411,0.220149
82,603.865,0.218927,0.182263,0.182263,0.218927
83,600.962,0.216723,0.181474,0.181474,0.216723
84,598.086,0.213767,0.180242,0.180242,0.213767
85,595.238,0.210404,0.178892,0.178892,0.210404
86,592.417,0.206988,0.177717,0.177717,0.206988
87,589.623,0.203764,0.176854,0.176854,0.203764
88,586.854,0.20083,0.176297,0.176297,0.20083
89,584.112,0.198204,0.176014,0.176014,0.198204
90,581.395,0.195915,0.176026,0.176026,0.195915
91,578.704,0.194028,0.176377,0.176377,0.194028
92,576.037,0.192602,0.177062,0.177062,0.192602
93,573.394,0.191636,0.178006,0.178006,0.191636
94,570.776,0.191079,0.179126,0.179126,0.191079
95,568.182,0.190873,0.180397,0.180397,0.190873
96,565.611,0.191001,0.181847,0.181847,0.191001
97,563.063,0.191474,0.183495,0.183495,0.191474
98,560.538,0.192297,0.185313,0.185313,0.192297
99,558.036,0.193438,0.187248,0.187248,0.193438
100,555.556,0.194846,0.189277,0.189277,0.194846
101,553.097,0.196478,0.191432,0.191432,0.196478
102,550.661,0.198319,0.193752,0.193752,0.198319
103,548.246,0.200371,0.196236,0.196236,0.200371
104,545.852,0.202623,0.198844,0.198844,0.202623
105,543.478,0.205043,0.20154,0.20154,0.205043
106,541.126,0.207594,0.204329,0.204329,0.207594
107,538.793,0.210248,0.207233,0.207233,0.210248
108,536.481,0.212988,0.210242,0.210242,0.212988
109,534.188,0.215793,0.213293,0.213293,0.215793
110,531.915,0.218622,0.216308,0.216308,0.218622
111,529.661,0.221422,0.219244,0.219244,0.221422
112,527.426,0.224147,0.222102,0.222102,0.224147
113,525.21,0.226766,0.224882,0.224882,0.226766
114,523.013,0.229262,0.227548,0.227548,0.229262
115,520.833,0.231614,0.230031,0.230031,0.231614
116,518.672,0.23379,0.23228,0.23228,0.23379
117,516.529,0.235758,0.234294,0.234294,0.235758
118,514.403,0.237498,0.236101,0.236101,0.237498
119,512.295,0.239004,0.237708,0.237708,0.239004
120,510.204,0.240279,0.23908,0.23908,0.240279
121,508.13,0.24132,0.240169,0.240169,0.24132
122,506.073,0.242116,0.240968,0.240968,0.242116
123,504.032,0.242657,0.241513,0.241513,0.242657
124,502.008,0.242943,0.241842,0.241842,0.242943
125,500.0,0.242987,0.241954,0.241954,0.242987
126,498.008,0.242802,0.241816,0.241816,0.242802
127,496.032,0.242395,0.241406,0.241406,0.242395
128,494.071,0.241766,0.240746,0.240746,0.241766
129,492.126,0.240914,0.239886,0.239886,0.240914
130,490.196,0.23985,0.238856,0.238856,0.23985
131,488.281,0.238591,0.23764,0.23764,0.238591
132,486.381,0.237153,0.236209,0.236209,0.237153
133,484.496,0.235548,0.234565,0.234565,0.235548
134,482.625,0.233777,0.232751,0.232751,0.233777
135,480.769,0.231847,0.230813,0.230813,0.231847
136,478.927,0.229771,0.228764,0.228764,0.229771
137,477.099,0.227568,0.22658,0.22658,0.227568
138,475.285,0.225258,0.224243,0.224243,0.225258
139,473.485,0.22285,0.221778,0.221778,0.22285
140,471.698,0.22035,0.219236,0.219236,0.22035
141,469.925,0.217765,0.216649,0.216649,0.217765
142,468.165,0.215108,0.214012,0.214012,0.215108
143,466.418,0.212401,0.211298,0.211298,0.212401
144,464.684,0.209661,0.208509,0.208509,0.209661
